payload_size_bytes,payload_size_label,channels,logical_block_size_bytes,logical_block_size_label,read_path_speedup,write_path_speedup,logical_blocks,cold_read_latency_ms,write_latency_ms,roundtrip_latency_ms,cold_read_throughput_bytes_per_s,write_throughput_bytes_per_s,meets_read_500_MBps_target,meets_write_500_MBps_target,meets_roundtrip_target,meets_all_targets
1073741824,1024 MB,64,262144,256 KB,256,128,4096,4958.121675452205,5267.305023799581,10225.426699251786,216562217.36471796,203850321.77716073,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,256,256,4096,4958.121675452205,2897.6525118997906,7855.774187351995,216562217.36471796,370555758.35627776,False,False,False,False
1073741824,1024 MB,64,1048576,1 MB,1,1,1024,304047.53041886305,610855.0430463463,914902.5734652093,3531493.3244837997,1757768.6166675945,False,False,False,False
1073741824,1024 MB,64,1048576,1 MB,1,2,1024,301999.53041886305,305491.5215231731,607491.0519420361,3555442.0316838133,3514800.733736734,False,False,False,False
1073741824,1024 MB,64,1048576,1 MB,1,4,1024,300975.53041886305,152809.76076158654,453785.2911804496,3567538.605233754,7026657.319850462,False,False,False,False
1073741824,1024 MB,64,1048576,1 MB,1,8,1024,300463.53041886305,76468.8803807933,376932.41079965635,3573617.8114633197,14041552.833689611,False,False,False,False
1073741824,1024 MB,64,1048576,1 MB,1,16,1024,300207.53041886305,38298.44019039665,338505.9706092597,3576665.190582885,28036176.37329369,False,False,False,False
1073741824,1024 MB,64,1048576,1 MB,1,32,1024,300079.53041886305,19213.22009519832,319292.75051406136,3578190.8299484076,55885573.51031151,False,False,False,False
1073741824,1024 MB,64,1048576,1 MB,1,64,1024,300015.53041886305,9670.610047599164,309686.14046646224,3578954.1378104934,111031446.69415848,False,False,False,False
1073741824,1024 MB,64,1048576,1 MB,1,128,1024,299983.53041886305,4899.305023799581,304882.83544266265,3579335.9138775,219162068.65750033,False,False,False,False
1073741824,1024 MB,64,1048576,1 MB,1,256,1024,299967.53041886305,2513.6525118997906,302481.1829307628,3579526.832456394,427163985.0444077,False,False,False,False
1073741824,1024 MB,64,1048576,1 MB,2,1,1024,152495.53041886305,608807.0430463463,761302.5734652093,7041136.360198415,1763681.6726482252,False,False,False,False
